iter	Passed	Remaining
0	57	11361
1	124	12340
2	191	12592
3	246	12074
4	314	12258
5	363	11765
6	415	11462
7	472	11343
8	535	11370
9	599	11398
10	663	11396
11	725	11365
12	789	11357
13	839	11155
14	909	11219
15	974	11210
16	1041	11215
17	1105	11180
18	1172	11171
19	1224	11016
20	1286	10961
21	1350	10930
22	1414	10888
23	1479	10849
24	1541	10790
25	1604	10740
26	1662	10650
27	1668	10246
28	1730	10202
29	1792	10159
30	1863	10159
31	1928	10124
32	1972	9982
33	1978	9658
34	2039	9614
35	2101	9572
36	2149	9471
37	2221	9472
38	2292	9463
39	2366	9467
40	2443	9477
41	2512	9450
42	2582	9429
43	2655	9415
44	2728	9398
45	2795	9358
46	2870	9343
47	2937	9300
48	3006	9265
49	3076	9230
50	3139	9172
51	3205	9122
52	3275	9085
53	3327	8995
54	3379	8910
55	3447	8865
56	3516	8821
57	3581	8768
58	3647	8716
59	3715	8670
60	3778	8611
61	3844	8558
62	3918	8521
63	3993	8486
64	4051	8413
65	4128	8381
66	4198	8334
67	4271	8291
68	4336	8232
69	4402	8175
70	4467	8116
71	4531	8056
72	4594	7993
73	4659	7933
74	4723	7872
75	4787	7811
76	4849	7746
77	4938	7724
78	4998	7656
79	5062	7593
80	5123	7526
81	5184	7460
82	5259	7413
83	5322	7350
84	5388	7290
85	5447	7220
86	5501	7145
87	5567	7086
88	5632	7024
89	5698	6965
90	5768	6909
91	5834	6849
92	5907	6796
93	5973	6736
94	6035	6671
95	6088	6595
96	6152	6532
97	6216	6469
98	6279	6406
99	6345	6345
100	6407	6280
101	6470	6217
102	6535	6155
103	6606	6097
104	6657	6023
105	6719	5958
106	6784	5896
107	6845	5831
108	6911	5770
109	6979	5710
110	7047	5650
111	7113	5589
112	7176	5525
113	7240	5461
114	7314	5406
115	7370	5336
116	7436	5275
117	7507	5217
118	7573	5155
119	7636	5091
120	7702	5028
121	7765	4964
122	7828	4900
123	7890	4836
124	7959	4775
125	8027	4714
126	8088	4649
127	8152	4585
128	8217	4522
129	8284	4460
130	8347	4396
131	8409	4332
132	8471	4267
133	8536	4204
134	8602	4141
135	8663	4077
136	8730	4014
137	8797	3952
138	8858	3887
139	8926	3825
140	8992	3762
141	9056	3699
142	9123	3636
143	9183	3571
144	9240	3504
145	9303	3441
146	9369	3378
147	9438	3316
148	9518	3257
149	9601	3200
150	9700	3147
151	9775	3086
152	9863	3030
153	9995	2985
154	10081	2926
155	10167	2867
156	10241	2805
157	10328	2745
158	10417	2686
159	10508	2627
160	10590	2565
161	10672	2503
162	10763	2443
163	10848	2381
164	10945	2321
165	11032	2259
166	11120	2197
167	11211	2135
168	11304	2073
169	11393	2010
170	11479	1946
171	11566	1882
172	11658	1819
173	11748	1755
174	11831	1690
175	11925	1626
176	12021	1562
177	12116	1497
178	12189	1430
179	12278	1364
180	12365	1298
181	12449	1231
182	12536	1164
183	12640	1099
184	12733	1032
185	12818	964
186	12908	897
187	12992	829
188	13081	761
189	13165	692
190	13259	624
191	13351	556
192	13437	487
193	13526	418
194	13618	349
195	13701	279
196	13783	209
197	13866	140
198	13972	70
199	14054	0
